"Date","Price","Open","High","Low","Change %"
"01/21/2013","13.350","13.350","13.350","13.350","3.89%"
"01/18/2013","12.850","12.850","12.850","12.850","0.00%"
"01/17/2013","12.850","12.850","12.850","12.850","0.00%"
"01/16/2013","12.850","12.850","12.850","12.850","-1.91%"
"01/15/2013","13.100","13.100","13.100","13.100","-0.38%"
"01/14/2013","13.150","13.150","13.150","13.150","-3.66%"
"01/11/2013","13.650","13.650","13.650","13.650","0.00%"
"01/10/2013","13.650","13.650","13.650","13.650","0.00%"
"01/09/2013","13.650","13.650","13.650","13.650","0.00%"
"01/08/2013","13.650","13.650","13.650","13.650","2.25%"
"01/04/2013","13.350","13.350","13.350","13.350","0.00%"
"01/03/2013","13.350","13.350","13.350","13.350","0.00%"
"01/02/2013","13.350","13.350","13.350","13.350","0.00%"
